Paper_Name,Year,Citation_Number,Author_Name,Snippet,Link
Privacy in e-commerce: examining user scenarios and privacy preferences,1999,808,Mark S. Ackerman/Lorrie Faith Cranor/Joseph Reagle,"Privacy is a necessary concern in electronic commerce. It is difficult, if not impossible, to complete a transaction without revealing some personal data–a shipping address, billing information, or product preference. Users may be unwilling to provide this necessary information or even to browse online if they believe their privacy is invaded or threatened. Fortunately, there are technologies to help users protect their privacy. P3P (Platform for Privacy Preferences Project) from the World Wide Web Consortium is one such technology …",https://dl.acm.org/doi/pdf/10.1145/336992.336995
Internet demand under different pricing schemes,1999,43,Jörn Altmann/Björn Rupp/Pravin Varaiya,"1 Objectives Apart from offering Virtual Private Networks to corporations, Internet Service Providers (ISPs) presently do not segment their market in regard to network services. All users experience the same service quality regardless of their usage profile. However, there are numerous alternatives that are both technologically and economically viable. Different pricing structures [3] can meet requirements of different user groups, resulting in a higher overall value of the network. In this paper, we present an analysis of aggregate data from the …",https://dl.acm.org/doi/pdf/10.1145/336992.336997
Contracting with uncertain level of trust,1999,212,Sviatoslav B. Brainov/Tuomas Sandholm,"The paper investigates the impact of trust on the form and the terms of contracts. A formal model of a bilateral game between a buyer and a seller is presented. The paper focuses on the case where the level of trustworthiness of the buyer is uncertain. It is shown that if the seller's trust equals the buyer trustworthiness, then the social welfare, the amount of trade and the agents' utility functions are maximized. It is demonstrated that underestimating the buyer's trustworthiness tends to harm both agents. The role of advance payment contracts …",https://dl.acm.org/doi/pdf/10.1145/336992.336998
Nark: receiver-based multicast non-repudiation and key management,1999,42,Bob Briscoe/Ian Fairman,"The goal of this work is to separately control individual secure sessions between unlimited pairs of multicast receivers and senders while preserving the scalability of receiver initiated Internet multicast for the data transfer itself. Unlike other secure multicast solutions, there are absolutely no side-effects on other receivers when a single receiver joins or leaves a session. Each individual receiver can also reliably prove whether any fragment of the data hasn't been delivered or wasn't delivered on time (eg late video frames). Further, each …",https://dl.acm.org/doi/pdf/10.1145/336992.336999
Automated strategy searches in an electronic goods market: learning and complex price schedules,1999,67,Christopher H. Brooks/Scott A. Fay/Rajarshi Das/Jeffrey K. MacKie-Mason/Jeffrey O. Kephart/Edmund H. Durfee,"Markets for electronic goods provide the possibility of exploring new and more complex pricing schemes, due to the flexibility of information goods and negligible marginal cost. In this paper we compare dynamic performance across price schedules of varying complexity. We provide a monopolist producer with two machine learning methods which implement a strategy that balances exploitation to maximize current profits against exploration to improve future profits. We find that the complexity of the price schedule affects both the amount of …",https://dl.acm.org/doi/pdf/10.1145/336992.337000
Opportunistic exploration of large consumer product spaces,1999,25,Doug Bryan/Anatole Gershman,"The advent of the Web has brought an unprecedented amount of information together with a large, diverse set of users. Online users are performing a wider variety of tasks than ever before. For example, not only is the Web being used to search conventional databases like Lexis/Nexus, it is also being used to broker Beanie Babies®. Today's common information seeking metaphors (ie, keyword search and hypertext) cannot be expected to support all these new tasks well. We characterize a new user behavior called opportunistic exploration …",https://dl.acm.org/doi/pdf/10.1145/336992.337003
How many QoS classes are optimal,1999,2,Kai Cieliebak/Beat Liver,… This paper addresses the question about the QoS classes to be offered from the provider’s perspective. PortfoZio theory provides the natural framework to address the above tradeOff.2 …,https://dl.acm.org/doi/pdf/10.1145/336992.337005
Strategic pricebot dynamics,1999,128,Amy Greenwald/Jeffrey O. Kephart/Gerald Tesauro,… t dynamics that ensue when shopbotassisted buyers interact with homogeneous collections of pricebots … that ensues when pricebots employing different strategies are pitted against one …,https://dl.acm.org/doi/pdf/10.1145/336992.337008
A declarative approach to business rules in contracts: courteous logic programs in XML,1999,290,Benjamin N. Grosof/Yannis Labrou/Hoi Y. Chan,"We address why, and especially how, to represent business rules in e-commerce contracts. By contracts, we mean descriptions of goods and services offered or sought, including ancillary agreements detailing terms of a deal. We observe that rules are useful in contracts to represent conditional relationships, eg, in terms & conditions, service provisions, and surrounding business processes, and we illustrate this point with several examples. We analyze requirements (desiderata) for representing such rules in contracts. The …",https://dl.acm.org/doi/pdf/10.1145/336992.337010
Enhancing privacy and trust in electronic communities,1999,237,Bernardo A. Huberman/Matthew K. Franklin/Tad Hogg,"A major impediment to using recommendation systems and collective knowledge for electronic commerce is the reluctance of individuals to reveal preferences in order to find groups of people that share them. An equally important barrier to fluid electronic commerce is the lack of agreed upon trusted third parties. We propose new non-third party mechanisms to overcome these barriers. Our solutions facilitate finding shared preferences, discovering communities with shared values, removing disincentives posed by liabilities, and negotiating …",https://dl.acm.org/doi/pdf/10.1145/336992.337012
